prompt_folder,prompt_text,vendi_inception,vendi_pixel,clip_score,one_minus_ms_ssim,method,prompt_folder_norm,prompt_text_norm,prompt_key
The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.8019,1.6676,32.3593,0.9265,base,the_black_chair_was_next_to_the_silver_table,the black chair was next to the silver table,the_black_chair_was_next_to_the_silver_table
The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.866,1.7766,32.1229,0.8802,base,the_black_chair_was_on_the_left_of_the_brown_table,the black chair was on the left of the brown table,the_black_chair_was_on_the_left_of_the_brown_table
The_brown_cat_was_lying_on_the_blue_blanket,The brown cat was lying on the blue blanket,1.4793,1.6301,37.238,0.9369,base,the_brown_cat_was_lying_on_the_blue_blanket,the brown cat was lying on the blue blanket,the_brown_cat_was_lying_on_the_blue_blanket
The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,1.8615,1.7654,38.9874,0.8923,base,the_brown_dog_is_lying_on_the_blue_pillow,the brown dog is lying on the blue pillow,the_brown_dog_is_lying_on_the_blue_pillow
The_brown_dog_was_lying_on_the_green_bed,The brown dog was lying on the green bed,2.2156,1.6001,36.3977,0.9228,base,the_brown_dog_was_lying_on_the_green_bed,the brown dog was lying on the green bed,the_brown_dog_was_lying_on_the_green_bed
The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,1.9585,1.3982,36.7351,0.6869,base,the_green_plant_was_on_top_of_the_brown_nightstand,the green plant was on top of the brown nightstand,the_green_plant_was_on_top_of_the_brown_nightstand
The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,1.8139,1.2235,37.7578,0.7788,base,the_green_plant_was_on_top_of_the_white_dresser,the green plant was on top of the white dresser,the_green_plant_was_on_top_of_the_white_dresser
The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,1.8609,1.3802,33.9879,0.7636,base,the_rectangular_mirror_was_hung_above_the_black_sink,the rectangular mirror was hung above the black sink,the_rectangular_mirror_was_hung_above_the_black_sink
The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,2.0059,1.284,31.933,0.7464,base,the_rectangular_painting_was_hung_above_the_silver_couch,the rectangular painting was hung above the silver couch,the_rectangular_painting_was_hung_above_the_silver_couch
The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.4111,1.5964,39.2806,0.668,base,the_red_apple_was_on_top_of_the_black_plate,the red apple was on top of the black plate,the_red_apple_was_on_top_of_the_black_plate
The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,1.9605,1.5916,39.2652,0.8255,base,the_red_hat_was_on_top_of_the_white_coat,the red hat was on top of the white coat,the_red_hat_was_on_top_of_the_white_coat
The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,1.5849,1.498,41.345,0.6696,base,the_red_mug_was_on_top_of_the_green_coaster,the red mug was on top of the green coaster,the_red_mug_was_on_top_of_the_green_coaster
The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,1.874,1.4286,39.1074,0.8397,base,the_red_umbrella_was_on_top_of_the_white_coat_rack,the red umbrella was on top of the white coat rack,the_red_umbrella_was_on_top_of_the_white_coat_rack
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.6235,1.3904,39.4445,0.8087,base,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,1.8647,1.6143,41.9611,0.9029,base,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,1.8491,1.2912,38.8087,0.6945,base,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_brown_bench_and_a_green_dog,a brown bench and a green dog,1.95,1.5955,38.7289,0.9008,base,a_brown_bench_and_a_green_dog,a brown bench and a green dog,a_brown_bench_and_a_green_dog
a_brown_car_and_a_red_clock,a brown car and a red clock,1.7999,1.7315,41.654,0.9386,base,a_brown_car_and_a_red_clock,a brown car and a red clock,a_brown_car_and_a_red_clock
a_cat_near_a_table,a cat near a table,1.803,1.8622,34.2559,0.9786,base,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,1.7422,2.1465,35.7957,0.9096,base,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.4275,1.4275,43.666,0.871,base,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.7265,1.5043,41.3433,0.7374,base,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
