prompt_key,prompt_folder,prompt_text,vendi_inception__base,ourmethod_value,vendi_inception__cads,vendi_inception__pg,vendi_inception__dpp,vendi_inception__mix,vendi_inception__apg
the_red_apple_was_on_top_of_the_white_plate,The_red_apple_was_on_top_of_the_white_plate,The red apple was on top of the white plate,1.3726,1.3366,1.5053,1.3847,1.5649,1.4418,1.372
the_red_apple_was_on_top_of_the_black_plate,The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.4111,1.4635,1.4416,1.4793,1.6194,1.4292,1.4132
a_turtle_on_the_left_of_a_painting,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.4508,1.4959,1.4631,1.4293,1.7167,1.9241,1.4464
a_person_on_the_left_of_a_microwave,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.5591,1.5429,1.6591,1.5403,1.7216,1.6715,1.5569
a_couch_on_the_right_of_a_turtle,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.4513,1.5544,1.5553,1.5198,1.7906,1.6579,1.4489
the_red_mug_was_on_top_of_the_green_coaster,The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,1.5849,1.5621,1.587,1.5497,1.7512,1.6039,1.5793
the_brown_cat_was_lying_on_the_blue_blanket,The_brown_cat_was_lying_on_the_blue_blanket,The brown cat was lying on the blue blanket,1.4793,1.5899,1.4804,1.4976,1.5964,1.5621,1.4782
a_computer_on_the_left_of_a_pig,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,1.7656,1.5976,1.8452,1.9402,1.9494,1.9515,1.7851
a_fish_on_the_left_of_a_microwave,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.5621,1.6421,1.5693,1.614,2.5726,1.9782,1.5765
a_sheep_near_a_car,a_sheep_near_a_car,a sheep near a car,1.5141,1.6574,1.4786,1.5736,1.7028,1.5389,1.5057
a_cow_near_a_balloon,a_cow_near_a_balloon,a cow near a balloon,1.8218,1.6607,1.644,1.8244,1.7366,1.9147,1.808
a_pig_on_side_of_a_wallet,a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.6557,1.6657,1.6701,1.7699,1.5987,2.0002,1.7025
a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,1.5866,1.6704,1.724,1.5616,1.7462,1.5778,1.5898
a_rabbit_on_the_top_of_a_book,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.5203,1.6749,1.5369,1.5253,1.4756,1.5362,1.5171
a_chicken_on_the_top_of_a_bicycle,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.4275,1.6959,1.4301,1.44,1.7169,1.605,1.4195
a_airplane_on_the_left_of_a_turtle,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.6235,1.7323,1.647,1.6353,1.5384,1.8878,1.617
the_red_umbrella_was_on_top_of_the_white_coat_rack,The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,1.874,1.7378,1.9128,1.9026,1.642,1.8508,1.8466
the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,1.8713,1.7412,1.9983,1.9644,2.0922,1.8739,1.8681
a_microwave_on_the_bottom_of_a_rabbit,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,1.6867,1.7418,1.7677,1.7231,1.7377,1.883,1.6958
a_computer_on_the_top_of_a_sheep,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.7265,1.7442,1.8644,1.775,2.0075,1.883,1.7222
a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,1.824,1.75,1.8539,1.7874,2.0466,1.9861,1.8207
a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,1.9396,1.7572,1.8272,1.8313,1.9601,1.9587,1.9422
a_cat_on_the_bottom_of_a_car,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,1.7422,1.7582,1.7502,1.7049,1.7402,1.7177,1.7393
the_black_chair_was_next_to_the_silver_table,The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.8019,1.7589,1.729,1.7184,2.0505,1.8952,1.779
the_wooden_spoon_was_next_to_the_green_bowl,The_wooden_spoon_was_next_to_the_green_bowl,The wooden spoon was next to the green bowl,1.8777,1.7823,1.7993,1.7722,1.8465,2.0099,1.8424
a_plate_on_the_right_of_a_bee,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,1.8148,1.8094,1.7741,1.6628,1.6202,1.9754,1.8111
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,1.8942,1.8185,1.9979,1.9146,2.0997,2.099,1.9079
a_green_bench_and_a_yellow_dog,a_green_bench_and_a_yellow_dog,a green bench and a yellow dog,1.9074,1.8259,2.0082,1.9561,1.9348,1.9592,1.9167
a_red_car_and_a_gold_clock,a_red_car_and_a_gold_clock,a red car and a gold clock,1.9236,1.8293,1.9547,2.0229,2.1382,1.801,1.8916
a_train_on_the_left_of_a_boy,a_train_on_the_left_of_a_boy,a train on the left of a boy,1.6833,1.8302,1.6207,1.7485,1.7745,2.243,1.6893
