prompt_key,prompt_folder,prompt_text,num_metrics_worst,worst_metrics,max_gap_to_best,avg_gap_to_best
a_refrigerator_on_the_bottom_of_a_dog,a_refrigerator_on_the_bottom_of_a_dog,a refrigerator on the bottom of a dog,2,"clip_score,vendi_inception",3.8503999999999934,2.2441499999999968
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,2,"one_minus_ms_ssim,vendi_inception",0.3647,0.32585000000000003
a_backpack_on_the_right_of_a_bird,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,1,clip_score,2.8688000000000002,2.8688000000000002
a_key_on_the_top_of_a_frog,a_key_on_the_top_of_a_frog,a key on the top of a frog,1,clip_score,1.9772000000000034,1.9772000000000034
a_painting_on_the_right_of_a_bee,a_painting_on_the_right_of_a_bee,a painting on the right of a bee,1,clip_score,1.759599999999999,1.759599999999999
a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,1,vendi_inception,0.6666000000000003,0.6666000000000003
a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,1,vendi_inception,0.6438999999999999,0.6438999999999999
a_suitcase_on_the_top_of_a_frog,a_suitcase_on_the_top_of_a_frog,a suitcase on the top of a frog,1,vendi_inception,0.5522,0.5522
a_girl_on_the_left_of_a_bee,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,1,vendi_inception,0.5207000000000002,0.5207000000000002
a_person_on_the_left_of_a_microwave,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1,vendi_inception,0.48850000000000016,0.48850000000000016
a_chicken_on_the_bottom_of_a_desk,a_chicken_on_the_bottom_of_a_desk,a chicken on the bottom of a desk,1,clip_score,0.4688999999999979,0.4688999999999979
a_woman_on_the_left_of_a_sheep,a_woman_on_the_left_of_a_sheep,a woman on the left of a sheep,1,vendi_inception,0.45219999999999994,0.45219999999999994
a_horse_near_a_lamp,a_horse_near_a_lamp,a horse near a lamp,1,vendi_inception,0.3508,0.3508
a_television_on_the_left_of_a_fish,a_television_on_the_left_of_a_fish,a television on the left of a fish,1,vendi_inception,0.1080000000000001,0.1080000000000001
a_pig_on_the_right_of_a_computer,a_pig_on_the_right_of_a_computer,a pig on the right of a computer,1,one_minus_ms_ssim,0.031199999999999894,0.031199999999999894
a_giraffe_on_the_right_of_a_phone,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,1,one_minus_ms_ssim,0.025999999999999912,0.025999999999999912
