prompt_key,prompt_folder,prompt_text
a_backpack_on_the_right_of_a_bird,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird
a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken
a_chicken_on_the_bottom_of_a_desk,a_chicken_on_the_bottom_of_a_desk,a chicken on the bottom of a desk
a_giraffe_on_the_right_of_a_phone,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man
a_girl_on_the_left_of_a_bee,a_girl_on_the_left_of_a_bee,a girl on the left of a bee
a_horse_near_a_lamp,a_horse_near_a_lamp,a horse near a lamp
a_key_on_the_top_of_a_frog,a_key_on_the_top_of_a_frog,a key on the top of a frog
a_painting_on_the_right_of_a_bee,a_painting_on_the_right_of_a_bee,a painting on the right of a bee
a_person_on_the_left_of_a_microwave,a_person_on_the_left_of_a_microwave,a person on the left of a microwave
a_pig_on_the_right_of_a_computer,a_pig_on_the_right_of_a_computer,a pig on the right of a computer
a_refrigerator_on_the_bottom_of_a_dog,a_refrigerator_on_the_bottom_of_a_dog,a refrigerator on the bottom of a dog
a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack
a_suitcase_on_the_top_of_a_frog,a_suitcase_on_the_top_of_a_frog,a suitcase on the top of a frog
a_television_on_the_left_of_a_fish,a_television_on_the_left_of_a_fish,a television on the left of a fish
a_woman_on_the_left_of_a_sheep,a_woman_on_the_left_of_a_sheep,a woman on the left of a sheep
