prompt_key,prompt_folder,prompt_text,our_value,avg_other,gap_to_avg_other,clip_score__base,clip_score__ourmethod,clip_score__cads,clip_score__pg,clip_score__dpp,clip_score__mix,clip_score__apg
a_brown_dog_and_a_blue_horse,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,34.1948,39.21221666666666,5.017416666666662,39.204,34.1948,38.8562,39.7364,39.4901,38.7437,39.2429
a_man_on_the_right_of_a_plate,a_man_on_the_right_of_a_plate,a man on the right of a plate,24.7786,28.16595,3.387349999999998,27.8219,24.7786,29.1919,29.2401,29.3856,25.5259,27.8303
a_cup_on_the_left_of_a_fish,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,33.7805,36.07456666666666,2.2940666666666587,36.3585,33.7805,36.3537,36.4184,35.4032,35.3885,36.5251
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,31.3979,33.62611666666667,2.2282166666666683,31.8147,31.3979,32.1636,34.4536,38.8415,32.6367,31.8466
a_boy_on_the_top_of_a_bag,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,34.9788,36.83761666666667,1.8588166666666694,37.5543,34.9788,36.0205,35.7086,39.0471,35.1221,37.5731
the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,31.7361,33.34565,1.6095499999999987,34.1001,31.7361,33.2453,32.9723,34.0249,31.8964,33.8349
a_blue_bench_and_a_green_car,a_blue_bench_and_a_green_car,a blue bench and a green car,35.9383,37.53765,1.5993500000000012,37.4392,35.9383,37.8875,36.603,36.9118,38.9118,37.4726
a_gold_car_and_a_red_clock,a_gold_car_and_a_red_clock,a gold car and a red clock,39.0839,40.6464,1.5625,41.3941,39.0839,40.8641,41.952,38.0619,40.093,41.5133
a_wallet_on_the_right_of_a_bee,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,36.0507,37.161233333333335,1.1105333333333363,35.0552,36.0507,37.2936,37.2993,40.3306,37.9052,35.0835
a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,35.9132,36.84676666666667,0.933566666666664,36.1926,35.9132,36.0557,36.2405,37.6301,38.6867,36.275
the_rectangular_mirror_was_hung_above_the_blue_sink,The_rectangular_mirror_was_hung_above_the_blue_sink,The rectangular mirror was hung above the blue sink,35.267,36.166083333333326,0.8990833333333228,36.7234,35.267,35.7559,35.725,36.7428,35.3475,36.7019
a_red_bench_and_a_green_car,a_red_bench_and_a_green_car,a red bench and a green car,37.8901,38.778150000000004,0.8880500000000069,38.2234,37.8901,38.7262,38.8226,38.912,39.5262,38.4585
a_yellow_bench_and_a_green_dog,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,40.2836,41.13391666666667,0.8503166666666715,41.9181,40.2836,41.8755,42.1595,40.8985,38.0494,41.9025
a_couch_on_the_right_of_a_turtle,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,35.8298,36.670716666666664,0.840916666666665,37.6949,35.8298,37.3245,37.6219,35.3044,34.4038,37.6748
the_brown_dog_is_lying_on_the_blue_pillow,The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,36.9838,37.74705,0.7632499999999993,38.9874,36.9838,38.6022,37.9975,37.7179,34.109,39.0683
a_chicken_on_the_top_of_a_bicycle,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,42.2904,43.01506666666666,0.7246666666666641,43.666,42.2904,43.1613,43.3115,42.683,41.7308,43.5378
a_pig_on_side_of_a_wallet,a_pig_on_side_of_a_wallet,a pig on side of a wallet,37.1958,37.84393333333333,0.6481333333333339,38.0171,37.1958,39.2694,36.4806,39.2782,36.0926,37.9257
a_train_on_the_left_of_a_boy,a_train_on_the_left_of_a_boy,a train on the left of a boy,36.0056,36.64683333333334,0.6412333333333393,36.5542,36.0056,36.9029,36.9276,36.8981,35.9859,36.6123
a_green_bench_and_a_red_car,a_green_bench_and_a_red_car,a green bench and a red car,40.5704,41.14338333333333,0.5729833333333332,42.2235,40.5704,41.8212,42.4566,38.3875,39.6517,42.3198
a_backpack_on_the_right_of_a_bird,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,41.2003,41.68196666666666,0.481666666666662,41.9611,41.2003,42.0302,42.2893,42.976,38.7028,42.1324
a_green_bench_and_a_yellow_dog,a_green_bench_and_a_yellow_dog,a green bench and a yellow dog,36.6526,37.12781666666667,0.4752166666666682,37.543,36.6526,37.6423,37.2233,36.1948,36.6534,37.5101
a_cow_near_a_balloon,a_cow_near_a_balloon,a cow near a balloon,39.5828,40.03373333333334,0.45093333333333874,39.5238,39.5828,40.0311,40.9329,40.0036,40.0946,39.6164
a_turtle_on_the_left_of_a_painting,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,32.8878,33.30708333333334,0.41928333333333967,33.6823,32.8878,33.9572,32.9967,32.4851,33.057,33.6642
a_giraffe_on_the_right_of_a_girl,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,38.8931,39.2592,0.366100000000003,39.4051,38.8931,39.2738,39.1002,40.4334,37.9759,39.3668
a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,28.9142,29.263983333333332,0.3497833333333311,29.2407,28.9142,29.4313,30.3107,31.1097,26.3681,29.1234
a_television_on_the_right_of_a_cow,a_television_on_the_right_of_a_cow,a television on the right of a cow,42.7696,43.10151666666667,0.33191666666667174,42.9309,42.7696,42.896,42.7066,43.1405,44.0652,42.8699
the_rectangular_painting_was_hung_above_the_silver_couch,The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,31.7267,31.99215,0.26544999999999774,31.933,31.7267,32.3219,32.6747,32.979,30.4832,31.5611
the_rectangular_mirror_was_hung_above_the_black_sink,The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,33.6087,33.780766666666665,0.17206666666666592,33.9879,33.6087,34.1951,33.4978,33.6285,33.6026,33.7727
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,35.9465,36.09115,0.1446499999999986,36.7571,35.9465,37.7828,36.7087,32.8524,35.7154,36.7305
the_black_chair_is_on_the_right_of_the_silver_desk,The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk,33.9201,34.061283333333336,0.14118333333333766,34.4044,33.9201,34.1525,34.5194,33.8809,32.8461,34.5644
