prompt_key,prompt_folder,prompt_text,clip_score__base,ourmethod_value,clip_score__cads,clip_score__pg,clip_score__dpp,clip_score__mix,clip_score__apg
a_man_on_the_right_of_a_plate,a_man_on_the_right_of_a_plate,a man on the right of a plate,27.8219,24.7786,29.1919,29.2401,29.3856,25.5259,27.8303
a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,29.2407,28.9142,29.4313,30.3107,31.1097,26.3681,29.1234
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,31.8147,31.3979,32.1636,34.4536,38.8415,32.6367,31.8466
a_bag_on_the_bottom_of_a_chicken,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,31.5999,31.7003,31.7906,31.767,31.9286,26.4853,31.6429
the_rectangular_painting_was_hung_above_the_silver_couch,The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,31.933,31.7267,32.3219,32.6747,32.979,30.4832,31.5611
the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,34.1001,31.7361,33.2453,32.9723,34.0249,31.8964,33.8349
the_black_chair_was_on_the_left_of_the_brown_table,The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,32.1229,32.0869,31.6225,31.8468,30.0974,29.5987,32.1884
a_turtle_on_the_left_of_a_painting,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,33.6823,32.8878,33.9572,32.9967,32.4851,33.057,33.6642
the_black_chair_was_next_to_the_silver_table,The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,32.3593,33.0251,32.0482,32.9512,33.0028,32.7158,32.9163
the_rectangular_mirror_was_hung_above_the_black_sink,The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,33.9879,33.6087,34.1951,33.4978,33.6285,33.6026,33.7727
a_vase_on_the_bottom_of_a_chicken,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,33.9301,33.6937,34.5991,34.0638,30.876,34.2419,34.0102
a_cup_on_the_left_of_a_fish,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,36.3585,33.7805,36.3537,36.4184,35.4032,35.3885,36.5251
the_black_chair_is_on_the_right_of_the_silver_desk,The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk,34.4044,33.9201,34.1525,34.5194,33.8809,32.8461,34.5644
a_girl_on_the_left_of_a_bee,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,32.8802,34.092,33.4994,34.2709,33.49,35.007,32.9251
a_person_on_the_left_of_a_microwave,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,34.5826,34.1903,34.1765,34.8784,33.3069,32.9732,34.5477
a_brown_dog_and_a_blue_horse,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,39.204,34.1948,38.8562,39.7364,39.4901,38.7437,39.2429
a_bag_on_the_right_of_a_butterfly,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,32.6672,34.6025,32.4825,34.1732,35.3915,28.3316,32.7186
a_phone_on_the_left_of_a_boy,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,32.4023,34.9548,33.8166,30.6168,32.1627,33.9975,32.6118
a_boy_on_the_top_of_a_bag,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,37.5543,34.9788,36.0205,35.7086,39.0471,35.1221,37.5731
the_rectangular_mirror_was_hung_above_the_blue_sink,The_rectangular_mirror_was_hung_above_the_blue_sink,The rectangular mirror was hung above the blue sink,36.7234,35.267,35.7559,35.725,36.7428,35.3475,36.7019
a_fish_on_the_top_of_a_bowl,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,35.4981,35.2784,35.1935,34.9376,34.9696,34.7247,35.5331
the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,35.1801,35.287,34.595,33.9218,34.2737,34.0653,35.2103
a_dog_on_the_top_of_a_suitcase,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,35.7142,35.3452,35.7187,35.2414,35.1702,35.3235,35.7441
a_plate_on_the_right_of_a_bee,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,34.995,35.3569,35.4444,35.3469,34.7395,35.6855,34.9962
a_cat_near_a_table,a_cat_near_a_table,a cat near a table,34.2559,35.5592,33.5514,33.9125,35.7404,34.026,34.2666
a_couch_on_the_right_of_a_turtle,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,37.6949,35.8298,37.3245,37.6219,35.3044,34.4038,37.6748
a_cat_on_the_bottom_of_a_car,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,35.7957,35.8435,35.7882,36.1947,36.0037,34.9783,35.7329
a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,36.1926,35.9132,36.0557,36.2405,37.6301,38.6867,36.275
a_blue_bench_and_a_green_car,a_blue_bench_and_a_green_car,a blue bench and a green car,37.4392,35.9383,37.8875,36.603,36.9118,38.9118,37.4726
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,36.7571,35.9465,37.7828,36.7087,32.8524,35.7154,36.7305
