prompt_key,prompt_folder,prompt_text,our_value,best_value,best_method,gap_to_best,vendi_pixel__base,vendi_pixel__ourmethod,vendi_pixel__cads,vendi_pixel__pg,vendi_pixel__dpp,vendi_pixel__mix,vendi_pixel__apg
a_girl_on_the_left_of_a_frog,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,1.7328,2.239,dpp,0.5062,1.7277,1.7328,1.7329,1.6577,2.239,1.9541,1.7274
a_computer_on_the_left_of_a_pig,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,1.5435,1.957,dpp,0.4135,1.5595,1.5435,1.5516,1.4976,1.957,1.7003,1.5587
a_red_car_and_a_gold_clock,a_red_car_and_a_gold_clock,a red car and a gold clock,1.8506,2.2627,dpp,0.41210000000000013,1.8805,1.8506,1.8988,1.8164,2.2627,2.0201,1.8816
the_red_hat_was_on_top_of_the_white_coat,The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,1.553,1.9626,dpp,0.40959999999999996,1.5916,1.553,1.5619,1.5245,1.9626,1.6279,1.5915
a_rabbit_on_the_top_of_a_book,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.5438,1.9264,dpp,0.38259999999999983,1.5607,1.5438,1.5582,1.4974,1.9264,1.6372,1.5598
the_black_chair_was_next_to_the_silver_table,The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.7058,2.0673,dpp,0.36149999999999993,1.6676,1.7058,1.6493,1.6005,2.0673,1.6684,1.6653
a_pig_on_side_of_a_wallet,a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.6322,1.9917,dpp,0.35949999999999993,1.6156,1.6322,1.6196,1.5758,1.9917,1.7227,1.6131
the_red_apple_was_on_top_of_the_black_plate,The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.5773,1.9311,dpp,0.3538000000000001,1.5964,1.5773,1.6047,1.5446,1.9311,1.6775,1.5964
a_vase_on_the_bottom_of_a_chicken,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,1.5773,1.8913,dpp,0.31400000000000006,1.5327,1.5773,1.5443,1.4781,1.8913,1.6882,1.5325
the_black_chair_was_on_the_left_of_the_brown_table,The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.7911,2.1041,dpp,0.31299999999999994,1.7766,1.7911,1.7843,1.7025,2.1041,1.7572,1.7762
a_fish_on_the_left_of_a_microwave,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.9353,2.2201,dpp,0.28479999999999994,1.8625,1.9353,1.8637,1.8126,2.2201,2.0241,1.862
the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,1.3937,1.6729,dpp,0.2792000000000001,1.4444,1.3937,1.4553,1.4177,1.6729,1.4431,1.4441
a_person_on_the_left_of_a_microwave,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.813,2.079,dpp,0.26600000000000024,1.8163,1.813,1.8186,1.7431,2.079,1.9618,1.8168
a_cat_near_a_table,a_cat_near_a_table,a cat near a table,1.8853,2.1164,dpp,0.23110000000000008,1.8622,1.8853,1.8779,1.7876,2.1164,2.0517,1.8623
a_yellow_bench_and_a_green_dog,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,1.9816,2.2095,dpp,0.22789999999999977,1.9856,1.9816,1.9658,1.9112,2.2095,2.1061,1.9934
a_backpack_on_the_right_of_a_bird,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,1.5959,1.8228,mix,0.22689999999999988,1.6143,1.5959,1.6133,1.5443,1.7749,1.8228,1.6149
