metric,prompt_key,prompt_folder,prompt_text,ourmethod_value,worst_value,worst_methods,best_method,best_value,gap_to_best,base,ourmethod,cads,pg,dpp,mix,apg
clip_score,a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,31.3979,31.3979,ourmethod,dpp,38.8415,7.4436000000000035,31.8147,31.3979,32.1636,34.4536,38.8415,32.6367,31.8466
clip_score,a_brown_dog_and_a_blue_horse,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,34.1948,34.1948,ourmethod,pg,39.7364,5.5416000000000025,39.204,34.1948,38.8562,39.7364,39.4901,38.7437,39.2429
clip_score,a_man_on_the_right_of_a_plate,a_man_on_the_right_of_a_plate,a man on the right of a plate,24.7786,24.7786,ourmethod,dpp,29.3856,4.606999999999999,27.8219,24.7786,29.1919,29.2401,29.3856,25.5259,27.8303
clip_score,a_boy_on_the_top_of_a_bag,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,34.9788,34.9788,ourmethod,dpp,39.0471,4.068300000000001,37.5543,34.9788,36.0205,35.7086,39.0471,35.1221,37.5731
clip_score,a_blue_bench_and_a_green_car,a_blue_bench_and_a_green_car,a blue bench and a green car,35.9383,35.9383,ourmethod,mix,38.9118,2.9735000000000014,37.4392,35.9383,37.8875,36.603,36.9118,38.9118,37.4726
clip_score,a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,35.9132,35.9132,ourmethod,mix,38.6867,2.7734999999999985,36.1926,35.9132,36.0557,36.2405,37.6301,38.6867,36.275
clip_score,a_cup_on_the_left_of_a_fish,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,33.7805,33.7805,ourmethod,apg,36.5251,2.7445999999999984,36.3585,33.7805,36.3537,36.4184,35.4032,35.3885,36.5251
clip_score,the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,31.7361,31.7361,ourmethod,base,34.1001,2.363999999999997,34.1001,31.7361,33.2453,32.9723,34.0249,31.8964,33.8349
clip_score,a_red_bench_and_a_green_car,a_red_bench_and_a_green_car,a red bench and a green car,37.8901,37.8901,ourmethod,mix,39.5262,1.636100000000006,38.2234,37.8901,38.7262,38.8226,38.912,39.5262,38.4585
clip_score,the_rectangular_mirror_was_hung_above_the_blue_sink,The_rectangular_mirror_was_hung_above_the_blue_sink,The rectangular mirror was hung above the blue sink,35.267,35.267,ourmethod,dpp,36.7428,1.4757999999999996,36.7234,35.267,35.7559,35.725,36.7428,35.3475,36.7019
