prompt_key,prompt_folder,prompt_text,vendi_pixel__base,ourmethod_value,vendi_pixel__cads,vendi_pixel__pg,vendi_pixel__dpp,vendi_pixel__mix,vendi_pixel__apg
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,1.2367,1.2406,1.2364,1.2191,1.1582,1.2656,1.2367
the_green_plant_was_on_top_of_the_white_dresser,The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,1.2235,1.2509,1.2319,1.1898,1.2556,1.2722,1.2228
the_rectangular_painting_was_hung_above_the_silver_couch,The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,1.284,1.2539,1.2825,1.247,1.3517,1.3014,1.2765
a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,1.2786,1.2802,1.2803,1.252,1.2863,1.3155,1.2786
the_rectangular_mirror_was_hung_above_the_blue_sink,The_rectangular_mirror_was_hung_above_the_blue_sink,The rectangular mirror was hung above the blue sink,1.2831,1.2858,1.2871,1.2483,1.2414,1.3478,1.2825
a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,1.3418,1.3004,1.3498,1.2928,1.4784,1.4682,1.3419
a_bicycle_on_the_left_of_a_bird,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,1.2912,1.3041,1.2946,1.2529,1.1828,1.3771,1.2919
a_pink_car_and_a_red_elephant,a_pink_car_and_a_red_elephant,a pink car and a red elephant,1.3987,1.3641,1.3996,1.3698,1.3858,1.4591,1.3988
a_boy_on_the_top_of_a_bag,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,1.3704,1.366,1.3693,1.3089,1.2804,1.3818,1.371
a_airplane_on_the_left_of_a_turtle,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.3904,1.3907,1.395,1.3501,1.4191,1.476,1.3903
the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,1.4444,1.3937,1.4553,1.4177,1.6729,1.4431,1.4441
a_red_car_and_a_pink_elephant,a_red_car_and_a_pink_elephant,a red car and a pink elephant,1.3488,1.3991,1.3533,1.3213,1.5182,1.4278,1.3479
the_green_plant_was_on_top_of_the_brown_nightstand,The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,1.3982,1.3993,1.4142,1.3334,1.2821,1.5295,1.3986
the_rectangular_mirror_was_hung_above_the_black_sink,The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,1.3802,1.4213,1.3959,1.3488,1.4315,1.4113,1.3793
the_black_chair_is_on_the_right_of_the_silver_desk,The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk,1.4505,1.422,1.4518,1.4123,1.5261,1.4998,1.451
the_red_umbrella_was_on_top_of_the_white_coat_rack,The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,1.4286,1.4336,1.436,1.3976,1.5337,1.5216,1.4279
a_plate_on_the_right_of_a_bee,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,1.3999,1.4433,1.4129,1.3699,1.1831,1.434,1.3998
a_cow_near_a_balloon,a_cow_near_a_balloon,a cow near a balloon,1.4235,1.4456,1.4308,1.3846,1.3309,1.4688,1.4229
a_chicken_on_the_top_of_a_bicycle,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.4275,1.4527,1.4235,1.38,1.4046,1.5458,1.4276
a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,1.4277,1.4595,1.4357,1.3753,1.468,1.4904,1.4278
a_giraffe_on_the_right_of_a_girl,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,1.5098,1.4897,1.5215,1.4605,1.4632,1.5832,1.5098
the_red_mug_was_on_top_of_the_green_coaster,The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,1.498,1.4912,1.4883,1.4572,1.6144,1.544,1.4984
a_computer_on_the_top_of_a_sheep,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.5043,1.5427,1.508,1.4511,1.4867,1.5916,1.5044
a_computer_on_the_left_of_a_pig,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,1.5595,1.5435,1.5516,1.4976,1.957,1.7003,1.5587
a_rabbit_on_the_top_of_a_book,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.5607,1.5438,1.5582,1.4974,1.9264,1.6372,1.5598
a_girl_on_the_left_of_a_bee,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,1.464,1.5479,1.4879,1.4088,1.5065,1.582,1.464
the_red_hat_was_on_top_of_the_white_coat,The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,1.5916,1.553,1.5619,1.5245,1.9626,1.6279,1.5915
a_cup_on_the_left_of_a_fish,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,1.5722,1.5598,1.5741,1.4987,1.3698,1.7385,1.5722
the_red_apple_was_on_top_of_the_black_plate,The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.5964,1.5773,1.6047,1.5446,1.9311,1.6775,1.5964
a_vase_on_the_bottom_of_a_chicken,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,1.5327,1.5773,1.5443,1.4781,1.8913,1.6882,1.5325
