prompt_key,prompt_folder,prompt_text,clip_score__base,ourmethod_value,clip_score__cads,clip_score__pg,clip_score__dpp,clip_score__mix,clip_score__apg
a_microwave_on_the_bottom_of_a_rabbit,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,41.3788,43.2448,41.615,41.7677,41.0261,41.6803,41.403
a_red_car_and_a_brown_elephant,a_red_car_and_a_brown_elephant,a red car and a brown elephant,41.3413,42.7907,41.1861,41.0803,40.0324,41.6206,41.3013
a_television_on_the_right_of_a_cow,a_television_on_the_right_of_a_cow,a television on the right of a cow,42.9309,42.7696,42.896,42.7066,43.1405,44.0652,42.8699
a_pink_car_and_a_red_elephant,a_pink_car_and_a_red_elephant,a pink car and a red elephant,41.8319,42.5088,42.0924,42.0084,43.4435,40.2105,41.7738
a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,42.0682,42.488,41.8495,42.4924,40.0739,38.3445,42.1505
a_chicken_on_the_top_of_a_bicycle,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,43.666,42.2904,43.1613,43.3115,42.683,41.7308,43.5378
the_red_mug_was_on_top_of_the_green_coaster,The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,41.345,42.1276,41.8066,40.9244,40.8893,40.8804,41.4052
a_brown_car_and_a_red_elephant,a_brown_car_and_a_red_elephant,a brown car and a red elephant,41.3142,41.8489,42.0155,41.4508,41.4353,40.592,41.387
a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,40.81,41.7368,39.0409,40.1067,39.7441,38.5807,40.7214
a_brown_car_and_a_red_clock,a_brown_car_and_a_red_clock,a brown car and a red clock,41.654,41.6996,41.1417,42.2515,36.8165,40.5142,41.8823
a_computer_on_the_top_of_a_sheep,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,41.3433,41.628,40.7006,41.6376,39.5688,38.6983,41.2897
a_backpack_on_the_right_of_a_bird,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,41.9611,41.2003,42.0302,42.2893,42.976,38.7028,42.1324
a_red_car_and_a_pink_elephant,a_red_car_and_a_pink_elephant,a red car and a pink elephant,40.6408,40.8868,40.6979,40.3782,42.0642,41.7171,40.6067
a_red_car_and_a_gold_clock,a_red_car_and_a_gold_clock,a red car and a gold clock,40.7944,40.602,40.7332,40.3364,40.0485,40.0627,40.9003
a_green_bench_and_a_red_car,a_green_bench_and_a_red_car,a green bench and a red car,42.2235,40.5704,41.8212,42.4566,38.3875,39.6517,42.3198
a_blue_dog_and_a_brown_horse,a_blue_dog_and_a_brown_horse,a blue dog and a brown horse,39.8825,40.5515,39.2224,40.9195,40.1025,40.0037,39.8807
a_brown_bench_and_a_green_dog,a_brown_bench_and_a_green_dog,a brown bench and a green dog,38.7289,40.5474,39.5047,39.0511,39.4932,38.8755,39.0927
a_yellow_bench_and_a_green_dog,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,41.9181,40.2836,41.8755,42.1595,40.8985,38.0494,41.9025
a_airplane_on_the_left_of_a_turtle,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,39.4445,40.2747,39.2667,39.3711,39.9202,37.9519,39.4334
a_rabbit_on_the_top_of_a_book,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,39.4434,39.6834,39.1728,39.2233,39.9886,38.7441,39.2294
a_sheep_near_a_car,a_sheep_near_a_car,a sheep near a car,39.5185,39.6351,39.285,40.1247,39.5027,39.0925,39.5729
a_green_bench_and_a_blue_car,a_green_bench_and_a_blue_car,a green bench and a blue car,37.8597,39.6097,38.1535,37.968,35.8534,38.082,37.848
a_cow_near_a_balloon,a_cow_near_a_balloon,a cow near a balloon,39.5238,39.5828,40.0311,40.9329,40.0036,40.0946,39.6164
the_red_umbrella_was_on_top_of_the_white_coat_rack,The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,39.1074,39.4751,38.4128,39.1109,39.9742,36.0572,38.9621
the_green_plant_was_on_top_of_the_white_dresser,The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,37.7578,39.3805,38.6678,38.7538,37.085,37.6161,38.4895
a_green_bench_and_a_brown_dog,a_green_bench_and_a_brown_dog,a green bench and a brown dog,38.2455,39.3793,38.0889,38.7296,37.9174,38.2758,38.264
a_wallet_on_the_right_of_a_dog,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,36.1372,39.2567,35.2696,36.1378,36.3675,34.1723,36.1475
the_red_apple_was_on_top_of_the_black_plate,The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,39.2806,39.1653,39.3741,39.5446,38.5681,37.5234,39.338
a_gold_car_and_a_red_clock,a_gold_car_and_a_red_clock,a gold car and a red clock,41.3941,39.0839,40.8641,41.952,38.0619,40.093,41.5133
a_giraffe_on_the_left_of_a_lamp,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,38.3844,39.0655,38.6432,38.026,36.7658,39.0673,38.3747
