metric,prompt_key,prompt_folder,prompt_text,ourmethod_value,worst_value,worst_methods,best_method,best_value,gap_to_best,base,ourmethod,cads,pg,dpp,mix,apg
vendi_inception,a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,2.4867,2.4867,ourmethod,mix,3.1533,0.6666000000000003,2.6707,2.4867,2.6555,2.5022,,3.1533,2.8178
vendi_inception,a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,2.7298,2.7298,ourmethod,mix,3.3737,0.6438999999999999,2.865,2.7298,2.8979,2.8999,2.9315,3.3737,2.8823
vendi_inception,a_refrigerator_on_the_bottom_of_a_dog,a_refrigerator_on_the_bottom_of_a_dog,a refrigerator on the bottom of a dog,3.3641,3.3641,ourmethod,mix,4.002,0.6378999999999997,3.9807,3.3641,3.8517,3.9403,,4.002,3.9111
vendi_inception,a_suitcase_on_the_top_of_a_frog,a_suitcase_on_the_top_of_a_frog,a suitcase on the top of a frog,2.4294,2.4294,ourmethod,pg,2.9816,0.5522,2.6167,2.4294,2.7122,2.9816,2.6213,2.5932,2.5472
vendi_inception,a_girl_on_the_left_of_a_bee,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,3.1102,3.1102,ourmethod,mix,3.6309,0.5207000000000002,3.4562,3.1102,3.5434,3.5233,3.3666,3.6309,3.2328
vendi_inception,a_person_on_the_left_of_a_microwave,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,2.1664,2.1664,ourmethod,mix,2.6549,0.48850000000000016,2.3955,2.1664,2.4011,2.1808,,2.6549,2.2606
vendi_inception,a_woman_on_the_left_of_a_sheep,a_woman_on_the_left_of_a_sheep,a woman on the left of a sheep,2.2362,2.2362,ourmethod,mix,2.6884,0.45219999999999994,2.473,2.2362,2.6086,2.3514,2.3879,2.6884,2.4165
vendi_inception,a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,2.655,2.655,ourmethod,mix,3.0197,0.3647,2.7825,2.655,2.7386,2.804,2.7394,3.0197,2.7579
vendi_inception,a_horse_near_a_lamp,a_horse_near_a_lamp,a horse near a lamp,3.064,3.064,ourmethod,mix,3.4148,0.3508,3.143,3.064,3.1364,3.4109,3.2366,3.4148,3.2561
vendi_inception,a_television_on_the_left_of_a_fish,a_television_on_the_left_of_a_fish,a television on the left of a fish,3.1044,3.1044,ourmethod,cads,3.2124,0.1080000000000001,3.1978,3.1044,3.2124,3.1094,,3.1504,3.1856
clip_score,a_refrigerator_on_the_bottom_of_a_dog,a_refrigerator_on_the_bottom_of_a_dog,a refrigerator on the bottom of a dog,34.5733,34.5733,ourmethod,base,38.4237,3.8503999999999934,38.4237,34.5733,38.2263,35.9017,,35.3132,36.4085
clip_score,a_backpack_on_the_right_of_a_bird,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,39.3934,39.3934,ourmethod,dpp,42.2622,2.8688000000000002,40.4388,39.3934,40.9505,40.4038,42.2622,39.7417,41.2515
clip_score,a_key_on_the_top_of_a_frog,a_key_on_the_top_of_a_frog,a key on the top of a frog,36.9392,36.9392,ourmethod,base,38.9164,1.9772000000000034,38.9164,36.9392,38.9106,38.1132,,38.7637,38.7392
clip_score,a_painting_on_the_right_of_a_bee,a_painting_on_the_right_of_a_bee,a painting on the right of a bee,32.888,32.888,ourmethod,dpp,34.6476,1.759599999999999,33.6715,32.888,33.6773,32.9873,34.6476,33.0952,33.7122
clip_score,a_chicken_on_the_bottom_of_a_desk,a_chicken_on_the_bottom_of_a_desk,a chicken on the bottom of a desk,38.2015,38.2015,ourmethod,pg,38.6704,0.4688999999999979,38.4518,38.2015,38.5159,38.6704,38.4879,38.5238,38.5394
one_minus_ms_ssim,a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,0.5437,0.5437,ourmethod,cads,0.8307,0.28700000000000003,0.8268,0.5437,0.8307,0.548,0.5657,0.7151,0.6637
one_minus_ms_ssim,a_pig_on_the_right_of_a_computer,a_pig_on_the_right_of_a_computer,a pig on the right of a computer,0.9118,0.9118,ourmethod,mix,0.943,0.031199999999999894,0.9322,0.9118,0.931,0.9145,,0.943,0.9279
one_minus_ms_ssim,a_giraffe_on_the_right_of_a_phone,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,0.9452,0.9452,ourmethod,mix,0.9712,0.025999999999999912,0.9457,0.9452,0.9523,0.9507,,0.9712,0.9682
