prompt_key,prompt_folder,prompt_text,our_value,best_value,best_method,gap_to_best,clip_score__base,clip_score__ourmethod,clip_score__cads,clip_score__pg,clip_score__dpp,clip_score__mix,clip_score__apg
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,31.3979,38.8415,dpp,7.4436000000000035,31.8147,31.3979,32.1636,34.4536,38.8415,32.6367,31.8466
a_brown_dog_and_a_blue_horse,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,34.1948,39.7364,pg,5.5416000000000025,39.204,34.1948,38.8562,39.7364,39.4901,38.7437,39.2429
a_man_on_the_right_of_a_plate,a_man_on_the_right_of_a_plate,a man on the right of a plate,24.7786,29.3856,dpp,4.606999999999999,27.8219,24.7786,29.1919,29.2401,29.3856,25.5259,27.8303
a_wallet_on_the_right_of_a_bee,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,36.0507,40.3306,dpp,4.279899999999998,35.0552,36.0507,37.2936,37.2993,40.3306,37.9052,35.0835
a_boy_on_the_top_of_a_bag,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,34.9788,39.0471,dpp,4.068300000000001,37.5543,34.9788,36.0205,35.7086,39.0471,35.1221,37.5731
a_blue_bench_and_a_green_car,a_blue_bench_and_a_green_car,a blue bench and a green car,35.9383,38.9118,mix,2.9735000000000014,37.4392,35.9383,37.8875,36.603,36.9118,38.9118,37.4726
a_gold_car_and_a_red_clock,a_gold_car_and_a_red_clock,a gold car and a red clock,39.0839,41.952,pg,2.8680999999999983,41.3941,39.0839,40.8641,41.952,38.0619,40.093,41.5133
a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,35.9132,38.6867,mix,2.7734999999999985,36.1926,35.9132,36.0557,36.2405,37.6301,38.6867,36.275
a_cup_on_the_left_of_a_fish,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,33.7805,36.5251,apg,2.7445999999999984,36.3585,33.7805,36.3537,36.4184,35.4032,35.3885,36.5251
the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,31.7361,34.1001,base,2.363999999999997,34.1001,31.7361,33.2453,32.9723,34.0249,31.8964,33.8349
a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,28.9142,31.1097,dpp,2.195499999999999,29.2407,28.9142,29.4313,30.3107,31.1097,26.3681,29.1234
the_brown_dog_is_lying_on_the_blue_pillow,The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,36.9838,39.0683,apg,2.0844999999999985,38.9874,36.9838,38.6022,37.9975,37.7179,34.109,39.0683
a_pig_on_side_of_a_wallet,a_pig_on_side_of_a_wallet,a pig on side of a wallet,37.1958,39.2782,dpp,2.0824,38.0171,37.1958,39.2694,36.4806,39.2782,36.0926,37.9257
a_green_bench_and_a_red_car,a_green_bench_and_a_red_car,a green bench and a red car,40.5704,42.4566,pg,1.8862000000000023,42.2235,40.5704,41.8212,42.4566,38.3875,39.6517,42.3198
a_yellow_bench_and_a_green_dog,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,40.2836,42.1595,pg,1.8759000000000015,41.9181,40.2836,41.8755,42.1595,40.8985,38.0494,41.9025
a_couch_on_the_right_of_a_turtle,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,35.8298,37.6949,base,1.8650999999999982,37.6949,35.8298,37.3245,37.6219,35.3044,34.4038,37.6748
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,35.9465,37.7828,cads,1.8363000000000014,36.7571,35.9465,37.7828,36.7087,32.8524,35.7154,36.7305
a_red_car_and_a_brown_clock,a_red_car_and_a_brown_clock,a red car and a brown clock,38.0035,39.833,dpp,1.829499999999996,35.6859,38.0035,35.8861,39.0684,39.833,37.2614,35.8263
a_backpack_on_the_right_of_a_bird,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,41.2003,42.976,dpp,1.7757000000000005,41.9611,41.2003,42.0302,42.2893,42.976,38.7028,42.1324
a_red_bench_and_a_green_car,a_red_bench_and_a_green_car,a red bench and a green car,37.8901,39.5262,mix,1.636100000000006,38.2234,37.8901,38.7262,38.8226,38.912,39.5262,38.4585
a_giraffe_on_the_right_of_a_girl,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,38.8931,40.4334,dpp,1.540300000000002,39.4051,38.8931,39.2738,39.1002,40.4334,37.9759,39.3668
the_rectangular_mirror_was_hung_above_the_blue_sink,The_rectangular_mirror_was_hung_above_the_blue_sink,The rectangular mirror was hung above the blue sink,35.267,36.7428,dpp,1.4757999999999996,36.7234,35.267,35.7559,35.725,36.7428,35.3475,36.7019
a_chicken_on_the_top_of_a_bicycle,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,42.2904,43.666,base,1.3755999999999986,43.666,42.2904,43.1613,43.3115,42.683,41.7308,43.5378
a_cow_near_a_balloon,a_cow_near_a_balloon,a cow near a balloon,39.5828,40.9329,pg,1.3500999999999976,39.5238,39.5828,40.0311,40.9329,40.0036,40.0946,39.6164
a_television_on_the_right_of_a_cow,a_television_on_the_right_of_a_cow,a television on the right of a cow,42.7696,44.0652,mix,1.2956000000000003,42.9309,42.7696,42.896,42.7066,43.1405,44.0652,42.8699
the_rectangular_painting_was_hung_above_the_silver_couch,The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,31.7267,32.979,dpp,1.2522999999999982,31.933,31.7267,32.3219,32.6747,32.979,30.4832,31.5611
a_red_car_and_a_pink_elephant,a_red_car_and_a_pink_elephant,a red car and a pink elephant,40.8868,42.0642,dpp,1.1773999999999987,40.6408,40.8868,40.6979,40.3782,42.0642,41.7171,40.6067
a_turtle_on_the_left_of_a_painting,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,32.8878,33.9572,cads,1.0694000000000017,33.6823,32.8878,33.9572,32.9967,32.4851,33.057,33.6642
the_wooden_spoon_was_next_to_the_green_bowl,The_wooden_spoon_was_next_to_the_green_bowl,The wooden spoon was next to the green bowl,38.9765,40.0296,apg,1.0531000000000006,39.9715,38.9765,39.8188,39.4162,38.8134,34.0933,40.0296
