prompt_key,prompt_folder,prompt_text
the_black_chair_is_on_the_right_of_the_silver_desk,The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger
the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall
the_rectangular_mirror_was_hung_above_the_blue_sink,The_rectangular_mirror_was_hung_above_the_blue_sink,The rectangular mirror was hung above the blue sink
the_red_apple_was_on_top_of_the_white_plate,The_red_apple_was_on_top_of_the_white_plate,The red apple was on top of the white plate
the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk
the_wooden_spoon_was_next_to_the_green_bowl,The_wooden_spoon_was_next_to_the_green_bowl,The wooden spoon was next to the green bowl
a_bag_on_the_bottom_of_a_chicken,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken
a_bag_on_the_right_of_a_butterfly,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly
a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane
a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken
a_blue_bench_and_a_green_car,a_blue_bench_and_a_green_car,a blue bench and a green car
a_blue_dog_and_a_brown_horse,a_blue_dog_and_a_brown_horse,a blue dog and a brown horse
a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken
a_boy_on_the_top_of_a_bag,a_boy_on_the_top_of_a_bag,a boy on the top of a bag
a_brown_car_and_a_red_elephant,a_brown_car_and_a_red_elephant,a brown car and a red elephant
a_brown_dog_and_a_blue_horse,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse
a_computer_on_the_bottom_of_a_horse,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse
a_computer_on_the_left_of_a_pig,a_computer_on_the_left_of_a_pig,a computer on the left of a pig
a_cup_on_the_left_of_a_fish,a_cup_on_the_left_of_a_fish,a cup on the left of a fish
a_dog_on_the_top_of_a_suitcase,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase
a_fish_on_the_top_of_a_bowl,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man
a_green_bench_and_a_brown_dog,a_green_bench_and_a_brown_dog,a green bench and a brown dog
a_green_bench_and_a_red_car,a_green_bench_and_a_red_car,a green bench and a red car
a_green_bench_and_a_yellow_dog,a_green_bench_and_a_yellow_dog,a green bench and a yellow dog
a_man_on_the_right_of_a_plate,a_man_on_the_right_of_a_plate,a man on the right of a plate
a_microwave_on_the_bottom_of_a_rabbit,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit
a_pink_car_and_a_red_elephant,a_pink_car_and_a_red_elephant,a pink car and a red elephant
a_red_bench_and_a_green_car,a_red_bench_and_a_green_car,a red bench and a green car
a_red_car_and_a_brown_clock,a_red_car_and_a_brown_clock,a red car and a brown clock
a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack
the_black_chair_is_on_the_right_of_the_silver_desk,the_black_chair_is_on_the_right_of_the_silver_desk,the black chair is on the right of the silver desk
the_black_phone_was_resting_on_the_brown_charger,the_black_phone_was_resting_on_the_brown_charger,the black phone was resting on the brown charger
the_green_plant_was_on_the_right_the_white_wall,the_green_plant_was_on_the_right_the_white_wall,the green plant was on the right the white wall
the_rectangular_mirror_was_hung_above_the_blue_sink,the_rectangular_mirror_was_hung_above_the_blue_sink,the rectangular mirror was hung above the blue sink
the_red_apple_was_on_top_of_the_white_plate,the_red_apple_was_on_top_of_the_white_plate,the red apple was on top of the white plate
the_silver_laptop_was_on_top_of_the_black_desk,the_silver_laptop_was_on_top_of_the_black_desk,the silver laptop was on top of the black desk
the_wooden_spoon_was_next_to_the_green_bowl,the_wooden_spoon_was_next_to_the_green_bowl,the wooden spoon was next to the green bowl
