prompt_key,prompt_folder,prompt_text,one_minus_ms_ssim__base,ourmethod_value,one_minus_ms_ssim__cads,one_minus_ms_ssim__pg,one_minus_ms_ssim__dpp,one_minus_ms_ssim__mix,one_minus_ms_ssim__apg
a_cat_near_a_table,a_cat_near_a_table,a cat near a table,0.9786,0.9746,0.9551,0.9343,0.9261,0.9908,0.973
a_bag_on_the_bottom_of_a_chicken,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,0.9589,0.9681,0.9569,0.9458,0.8876,0.9626,0.9589
a_couch_on_the_right_of_a_turtle,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,0.9479,0.9598,0.9434,0.9237,0.973,0.9665,0.9456
a_girl_on_the_left_of_a_frog,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,0.9425,0.9594,0.9495,0.9316,0.9647,0.9733,0.9425
a_sheep_near_a_car,a_sheep_near_a_car,a sheep near a car,0.8881,0.9584,0.8848,0.8482,0.8983,0.9513,0.8882
a_plate_on_the_right_of_a_bee,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,0.9296,0.9558,0.9244,0.8692,0.7226,0.9528,0.9294
a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,0.973,0.955,0.973,0.959,0.922,0.9653,0.9731
a_brown_dog_and_a_blue_horse,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,0.933,0.9532,0.9313,0.9316,0.9499,0.9745,0.9332
a_television_on_the_right_of_a_cow,a_television_on_the_right_of_a_cow,a television on the right of a cow,0.9574,0.9485,0.9453,0.9424,0.8091,0.9613,0.9582
a_vase_on_the_bottom_of_a_chicken,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,0.8997,0.9485,0.9104,0.8903,0.8363,0.9259,0.8995
a_turtle_on_the_left_of_a_painting,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,0.9294,0.9474,0.9254,0.873,0.9363,0.9729,0.9295
the_black_chair_was_on_the_left_of_the_brown_table,The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,0.8802,0.9459,0.8787,0.8613,0.9085,0.952,0.8796
a_red_car_and_a_gold_clock,a_red_car_and_a_gold_clock,a red car and a gold clock,0.9333,0.9453,0.9356,0.9189,0.9502,0.9393,0.9327
a_computer_on_the_bottom_of_a_horse,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,0.9105,0.9439,0.9106,0.8827,0.8968,0.9439,0.9116
a_girl_on_the_left_of_a_bee,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,0.942,0.9432,0.9455,0.9079,0.9465,0.9575,0.942
the_brown_cat_was_lying_on_the_blue_blanket,The_brown_cat_was_lying_on_the_blue_blanket,The brown cat was lying on the blue blanket,0.9369,0.9398,0.9402,0.9099,0.945,0.9462,0.9369
the_black_chair_was_next_to_the_silver_table,The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,0.9265,0.9395,0.9279,0.9246,0.9533,0.9401,0.9261
a_man_on_the_right_of_a_plate,a_man_on_the_right_of_a_plate,a man on the right of a plate,0.9359,0.939,0.9173,0.9127,0.9716,0.9718,0.9357
a_red_car_and_a_pink_elephant,a_red_car_and_a_pink_elephant,a red car and a pink elephant,0.8853,0.9336,0.8813,0.8685,0.764,0.8599,0.8841
a_red_bench_and_a_green_car,a_red_bench_and_a_green_car,a red bench and a green car,0.9433,0.9324,0.9302,0.9216,0.9557,0.9724,0.9413
a_train_on_the_left_of_a_boy,a_train_on_the_left_of_a_boy,a train on the left of a boy,0.8905,0.9314,0.8963,0.8452,0.8117,0.9688,0.8905
a_green_bench_and_a_red_car,a_green_bench_and_a_red_car,a green bench and a red car,0.9137,0.9294,0.911,0.8409,0.9719,0.97,0.9137
the_brown_dog_was_lying_on_the_green_bed,The_brown_dog_was_lying_on_the_green_bed,The brown dog was lying on the green bed,0.9228,0.9291,0.9239,0.8722,0.8612,0.9306,0.9239
a_blue_bench_and_a_green_car,a_blue_bench_and_a_green_car,a blue bench and a green car,0.9327,0.9283,0.9212,0.878,0.9326,0.956,0.9328
a_giraffe_on_the_right_of_a_girl,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,0.9411,0.928,0.9442,0.927,0.919,0.9679,0.9392
a_yellow_bench_and_a_green_dog,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,0.9151,0.9273,0.9131,0.8925,0.9323,0.955,0.9161
a_fish_on_the_top_of_a_bowl,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,0.9357,0.9265,0.9317,0.9291,0.9435,0.9764,0.9357
a_giraffe_on_the_right_of_a_phone,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,0.9448,0.9264,0.9449,0.9363,0.8881,0.9763,0.9446
a_phone_on_the_left_of_a_boy,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,0.9205,0.9257,0.9203,0.9017,0.8601,0.9588,0.9207
a_green_bench_and_a_blue_car,a_green_bench_and_a_blue_car,a green bench and a blue car,0.9123,0.9242,0.913,0.8665,0.9199,0.9686,0.9124
