prompt_key,prompt_folder,prompt_text,our_value,best_value,best_method,gap_to_best,vendi_inception__base,vendi_inception__ourmethod,vendi_inception__cads,vendi_inception__pg,vendi_inception__dpp,vendi_inception__mix,vendi_inception__apg
a_fish_on_the_left_of_a_microwave,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.6421,2.5726,dpp,0.9305000000000001,1.5621,1.6421,1.5693,1.614,2.5726,1.9782,1.5765
a_turtle_on_the_left_of_a_painting,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.4959,1.9241,mix,0.4281999999999999,1.4508,1.4959,1.4631,1.4293,1.7167,1.9241,1.4464
a_train_on_the_left_of_a_boy,a_train_on_the_left_of_a_boy,a train on the left of a boy,1.8302,2.243,mix,0.41279999999999983,1.6833,1.8302,1.6207,1.7485,1.7745,2.243,1.6893
a_brown_car_and_a_red_elephant,a_brown_car_and_a_red_elephant,a brown car and a red elephant,2.0863,2.4656,dpp,0.37929999999999975,2.1587,2.0863,2.147,2.1001,2.4656,2.2046,2.1447
a_computer_on_the_left_of_a_pig,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,1.5976,1.9515,mix,0.3539000000000001,1.7656,1.5976,1.8452,1.9402,1.9494,1.9515,1.7851
the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,1.7412,2.0922,dpp,0.351,1.8713,1.7412,1.9983,1.9644,2.0922,1.8739,1.8681
a_green_bench_and_a_brown_dog,a_green_bench_and_a_brown_dog,a green bench and a brown dog,1.8477,2.1837,dpp,0.3360000000000001,2.1257,1.8477,2.0153,2.0383,2.1837,1.9212,2.1279
a_pig_on_side_of_a_wallet,a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.6657,2.0002,mix,0.3345,1.6557,1.6657,1.6701,1.7699,1.5987,2.0002,1.7025
a_red_car_and_a_gold_clock,a_red_car_and_a_gold_clock,a red car and a gold clock,1.8293,2.1382,dpp,0.30889999999999995,1.9236,1.8293,1.9547,2.0229,2.1382,1.801,1.8916
a_girl_on_the_left_of_a_frog,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,1.8484,2.1487,mix,0.3002999999999998,1.8605,1.8484,2.0507,1.9058,1.7947,2.1487,1.9091
a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,1.75,2.0466,dpp,0.2966000000000002,1.824,1.75,1.8539,1.7874,2.0466,1.9861,1.8207
a_backpack_on_the_right_of_a_bird,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,2.0606,2.3539,mix,0.2932999999999999,1.8647,2.0606,1.9217,1.7688,1.6952,2.3539,1.8615
the_black_chair_was_next_to_the_silver_table,The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.7589,2.0505,dpp,0.2916000000000001,1.8019,1.7589,1.729,1.7184,2.0505,1.8952,1.779
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,1.8185,2.0997,dpp,0.2811999999999999,1.8942,1.8185,1.9979,1.9146,2.0997,2.099,1.9079
a_fish_on_the_top_of_a_bowl,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,1.9551,2.2343,mix,0.2792000000000001,2.1615,1.9551,2.1765,2.1716,1.5708,2.2343,2.1584
a_computer_on_the_top_of_a_sheep,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.7442,2.0075,dpp,0.26329999999999987,1.7265,1.7442,1.8644,1.775,2.0075,1.883,1.7222
a_cow_near_a_balloon,a_cow_near_a_balloon,a cow near a balloon,1.6607,1.9147,mix,0.254,1.8218,1.6607,1.644,1.8244,1.7366,1.9147,1.808
a_bag_on_the_bottom_of_a_chicken,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,2.0696,2.3233,dpp,0.25370000000000026,2.0755,2.0696,2.1518,2.0894,2.3233,2.2314,2.0762
a_couch_on_the_right_of_a_turtle,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.5544,1.7906,dpp,0.23619999999999997,1.4513,1.5544,1.5553,1.5198,1.7906,1.6579,1.4489
the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,2.2057,2.4417,dpp,0.23599999999999977,2.2566,2.2057,2.2471,2.4096,2.4417,2.0601,2.2181
a_brown_bench_and_a_green_dog,a_brown_bench_and_a_green_dog,a brown bench and a green dog,1.9684,2.2043,dpp,0.2359,1.95,1.9684,1.8652,1.8936,2.2043,2.0438,1.9632
the_red_apple_was_on_top_of_the_white_plate,The_red_apple_was_on_top_of_the_white_plate,The red apple was on top of the white plate,1.3366,1.5649,dpp,0.22829999999999995,1.3726,1.3366,1.5053,1.3847,1.5649,1.4418,1.372
the_wooden_spoon_was_next_to_the_green_bowl,The_wooden_spoon_was_next_to_the_green_bowl,The wooden spoon was next to the green bowl,1.7823,2.0099,mix,0.22760000000000002,1.8777,1.7823,1.7993,1.7722,1.8465,2.0099,1.8424
a_giraffe_on_the_right_of_a_phone,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,1.9038,2.1194,mix,0.21560000000000024,1.9554,1.9038,1.9212,1.7707,1.9448,2.1194,1.9553
the_black_chair_was_on_the_left_of_the_brown_table,The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.9432,2.1588,mix,0.2155999999999998,1.866,1.9432,1.8111,1.7632,2.1005,2.1588,1.9015
a_green_bench_and_a_blue_car,a_green_bench_and_a_blue_car,a green bench and a blue car,2.0103,2.2248,cads,0.21450000000000014,2.1892,2.0103,2.2248,2.1175,1.9874,1.8093,2.1661
a_phone_on_the_left_of_a_boy,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,2.1957,2.4025,apg,0.20679999999999987,2.3834,2.1957,2.2785,2.3569,2.2891,2.0305,2.4025
a_vase_on_the_bottom_of_a_chicken,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,1.8972,2.1039,mix,0.20669999999999988,2.0298,1.8972,1.8829,2.0008,1.6365,2.1039,2.0095
a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,1.7572,1.9601,dpp,0.20289999999999986,1.9396,1.7572,1.8272,1.8313,1.9601,1.9587,1.9422
a_green_bench_and_a_red_car,a_green_bench_and_a_red_car,a green bench and a red car,1.993,2.1873,dpp,0.19429999999999992,2.1301,1.993,2.0801,2.056,2.1873,2.0461,2.1298
